Filename,Segment.x,Contractions,Segment.y,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,% words POS possessive,% words 'of',year,readability,grade_level,syllable_count,syllables_per_word,syllables_per_sentence
1897-McKinley.txt.txt,1,0,1,3965,84.67,37.45,29.85,69.82,30.5,27.01,89.91,68.4,57.5,8.5,4.11,0.98,2.27,0,0.08,0.53,4.39,18.26,10.32,0.58,16.8,8.35,3.18,8.63,1.54,11.5,6.76,4.97,8.85,3.28,1.54,4.16,12.99,1.87,11.07,1.72,1.46,2.27,1.82,0.81,4.29,0.05,5.7,4.39,1.24,1.03,0.63,0.3,0.05,0.05,0.1,0,8.35,3.76,0.83,0.13,0.33,0.86,0.43,4.09,0.08,0.05,0.03,0.15,4.14,3.88,0.25,0,5.78,0.2,0.05,3.35,2.4,0.33,0.4,0.23,0,0.08,0.08,0,0,0,0.08,0.76,0.15,0.28,0.18,0.43,0,0.25,0.76,0.28,4.39,7.47,0.53,0.93,5.88,0.25,0.03,0.08,3.76,2.37,3.33,1.87,0,0,0,0,0,10.26,3.28,5.78,0,0,0,1.21,0,0,5.232958457654349,1897,28.547970145728755,17.68005390038663,7482,1.7016147373209003,57.55384615384615
2013-Obama.txt.txt,1,0.1,1,2103,52.34,96.9,23.67,65.2,23.37,21.73,89.78,66.81,56.21,15.88,10.03,0.33,7.99,0.33,0.33,0.67,5.85,18.64,7.04,0.67,13.31,7.13,3.28,7.94,1.9,12.32,5.37,3.57,14.65,9.65,2,3.28,13.88,1.76,11.98,2.52,1.95,2.33,1.47,0.76,4.18,0.14,6.51,4.66,1.81,1.24,0.76,0.33,0.1,0.05,0,0,16.64,3.99,0.71,0.33,0.38,0.81,1.14,12.17,0.71,0.1,0.57,0.48,2.47,2.09,0.33,0.14,3.85,0.24,0.05,2.33,0.86,0.57,0.95,0.33,0.14,0.05,0,0,0.05,0,0,1.38,0.29,0.19,0.24,0.29,0,0.38,1,0.38,5.61,5.75,0.14,1.05,3.99,0.38,0.19,0.05,4.76,2.04,4.04,1.57,0.05,0,0.05,0,0,10.98,4.33,4.71,0,0,0.62,1.33,0,0.3884333189469142,2.977988778593008,2013,46.95683392315473,13.096008594539942,3740,1.5813953488372092,40.65217391304348
1837-VanBuren.txt.txt,1,0,1,3839,79.8,46.37,34.97,51.52,40.41,29.1,86.9,67.26,56.79,12.14,7.24,2.32,2.71,0,0.49,1.25,4.9,17.84,8.52,0.36,16.88,6.82,3.67,7.06,1.25,10.45,6.77,4.3,8.54,4.01,1.43,3.23,13.23,1.98,11.2,2.16,1.48,1.75,2.27,0.81,3.91,0.13,6.56,4.12,2.08,2.42,1.25,0.76,0.39,0.21,0.03,0,9.9,3.49,0.81,0.16,0.31,0.96,0.31,5.83,0.13,0.1,0.05,0.55,2.32,2.27,0.03,0.03,2.4,0.08,0.08,1.64,0.31,0.34,0.6,0.16,0.05,0.03,0,0,0.08,0.03,0.08,0.26,0.55,0.1,0.1,0.36,0,0.29,0.86,0.26,3.75,7.94,0.44,0.78,5.89,0.68,0.13,0.34,3.18,3.54,2.34,2.08,0.03,0.03,0,0,0,8.67,2.32,4.53,0.05,0.1,0.05,1.62,0,0.04807692307692308,4.759615384615385,1837,14.461042239339749,21.545909914935155,7441,1.7763189305323466,73.67326732673267
1801-Jefferson.txt.txt,1,0,1,1726,82.06,58.68,28.24,81.09,42.1,22.89,88.18,68.77,58.11,14.02,7.59,1.97,2.55,0.81,0.58,1.22,6.43,18.02,8.92,0.75,17.21,6.03,2.49,7.18,0.87,9.97,7.13,4.06,9.27,3.82,1.45,4.11,12.75,1.56,11.18,2.72,1.04,1.56,1.74,0.52,4.4,0.12,7.82,5.91,1.91,2.32,1.62,0.7,0.29,0.12,0.12,0.06,11.65,4.35,1.04,0.12,0.12,1.04,0.98,7.07,0.12,0.12,0,1.22,2.78,2.78,0,0,2.84,0.06,0.12,1.68,0.52,0.64,0.75,0.23,0.06,0,0,0,0.06,0.06,0.12,0.35,0.29,0.29,0,0.23,0,0.23,0.52,0.12,3.82,6.55,0.23,0.98,4.75,0.58,0.06,0.29,2.26,1.85,2.14,2.14,0,0,0,0,0,11.99,2.14,7.42,0.23,0,0.12,2.09,0,0.1038961038961039,5.402597402597403,1801,25.37087160262419,20.67401124648547,3135,1.615979381443299,71.25
1865-Lincoln.txt.txt,1,0,1,699,79.13,31.27,24.43,12.71,26.88,19.46,90.7,70.96,60.94,10.73,3.86,0.29,1.57,0,1.29,0.29,6.87,20.31,9.73,1.57,16.31,8.01,4.58,7.15,1.43,13.73,4.72,5.87,9.3,3,1,5.44,15.59,2.29,13.16,1.57,1.43,2.29,2.86,0.43,5.72,0,6.87,3,3.72,1.72,0.57,1,0.29,0.14,0.43,0,8.15,3.72,0.72,0.14,0.43,0.43,1.43,4.29,0.14,0,0.14,1.72,1.43,1.29,0.14,0,2.86,0.29,0,0.57,0.43,1.57,1.43,0.14,0.14,0,0,0,0,0.14,0.43,0.72,0.43,0.43,0,0.29,0,0,0.29,0.72,3.15,6.58,1,1.14,4.15,0.86,0,0,5.01,4.29,2.58,2.72,0,0,0,0,0,11.87,3.58,6.15,0.14,0,0.57,1.43,0,0.5134788189987163,2.8241335044929405,1865,51.37000000000002,13.085714285714287,1182,1.5,42.214285714285715
1853-Pierce.txt.txt,1,0,1,3333,76.8,38.32,35.36,62.74,32.05,26.61,87.7,68.38,58.51,11.85,6.6,1.83,1.77,0.69,0.45,1.8,5.25,17.82,9.15,0.3,16.77,7.86,3.6,7.59,1.92,11.16,6.78,2.82,8.28,2.91,1.47,4.14,14.19,1.77,12.42,2.43,1.23,1.92,2.13,0.96,4.98,0.12,6.39,4.44,1.74,2.1,1.2,0.57,0.21,0.12,0.12,0,10.53,4.14,0.66,0.3,0.36,0.69,0.81,5.97,0.3,0,0,0.75,2.1,2.01,0.09,0,2.4,0.09,0.21,1.44,0.48,0.3,0.45,0.12,0.03,0,0,0,0.09,0,0.03,0.57,0.39,0.27,0.03,0.27,0,0.33,0.78,0.33,4.08,8.43,0.66,0.66,6.27,0.75,0.15,0.15,2.25,2.97,2.73,2.07,0,0,0,0,0,9.57,3.03,5.34,0.09,0,0.09,1.02,0,0.08244023083264633,4.616652926628195,1853,26.07920196238757,18.30258209710704,6301,1.717361678931589,60.00952380952381
1809-Madison.txt.txt,1,0,1,1175,94.47,18.96,43.92,84.82,55.95,26.81,87.57,67.91,58.55,10.04,5.7,2.72,1.19,0,0.09,1.36,4.34,18.13,10.89,0,20.77,5.79,2.98,7.06,1.28,8.6,6.89,3.15,8.34,2.47,2.38,3.57,11.15,1.02,10.13,1.96,1.62,0.94,1.36,0.17,4.68,0.09,7.83,6.04,1.7,2.3,1.53,0.6,0.09,0.34,0.17,0.09,8.68,4.6,1.36,0.26,0.09,1.28,0.34,3.4,0,0,0,0.09,2.21,2.13,0.09,0,2.98,0.09,0.09,1.79,0.77,0.43,0.51,0.09,0,0,0,0,0.17,0.09,0,0.17,0.09,0,0.17,0.51,0,0.51,0.34,0.43,3.57,8.68,0.51,0.51,6.89,0.68,0,0.34,1.53,2.47,2.72,1.45,0,0,0,0,0,7.66,1.79,4,0,0,0,1.87,0,0,5.392545598731166,1809,0.16605488850774464,27.59981417953117,2225,1.7492138364779874,101.13636363636364
1981-Reagan.txt.txt,1,0,1,2433,59.72,93.23,35.21,64.28,19.01,21.37,89.03,70,58.41,14.96,10.11,1.27,5.88,0.9,0.37,0.99,4.85,16.36,7.15,0.66,15.41,9.21,3.04,6.78,1.89,14.96,5.47,3.86,12,7.27,1.93,2.88,10.73,1.6,9.04,2.06,1.11,1.73,1.36,0.53,3.25,0.08,5.71,4.19,1.4,1.11,0.58,0.37,0.08,0,0.04,0,15.25,4.07,0.74,0.33,0.41,0.7,1.11,11.22,0.49,0.04,0.08,0.9,2.34,2.22,0.12,0,3.74,0.21,0.16,1.56,1.23,0.66,1.11,0.21,0.08,0.12,0,0,0,0.25,0.16,0.7,0.33,0.33,0.25,0.21,0,0.41,0.33,0.16,5.71,8.55,0.29,0.95,7.32,0.37,0.08,0.04,3.29,2.71,4.48,2.51,0.04,0,0.04,0,0,15.29,5.34,7.15,0.21,0,0.41,2.18,0,0.2516175413371675,3.2350826743350107,1981,56.71400405323246,10.70618144970614,4282,1.5157522123893803,32.68702290076336
1921-Harding.txt.txt,1,0,1,3327,75.65,73.3,26.55,62.34,22.48,28.04,88.19,63.99,53.35,10.22,6.82,0.81,4.93,0.15,0.42,0.45,3.4,15.03,7.87,0.18,15.39,7.48,3.04,7.42,2.49,11.81,5.89,2.71,12.53,6.01,2.52,4.27,14.19,2.52,11.66,2.71,1.59,2.77,1.65,0.93,3.4,0.03,7.57,5.02,2.34,2.61,1.44,0.84,0.06,0.42,0.24,0,12.5,4.39,1.05,0,0.36,1.11,0.72,7.42,0.12,0.09,0.3,0.39,2.8,2.52,0.24,0.03,4.84,0.06,0.15,2.83,1.53,0.63,1.08,0.42,0.09,0.12,0.03,0,0,0.06,0.03,0.87,0.69,0.27,0.18,0.24,0.03,0.6,0.42,0.3,4.84,9.02,0.45,0.9,6.91,0.66,0.12,0.27,3.13,1.95,3.25,2.1,0,0,0,0,0,12.41,4.42,6.67,0.03,0,0.24,1.05,0,0.21441972661484857,4.261592066470115,1921,36.95159506809503,14.254317608744056,6480,1.7111169791391605,42.35294117647059
1789-Washington.txt.txt,1,0,1,1430,86.93,13.69,44.9,86.14,62.17,26.22,87.06,68.53,59.37,12.94,6.78,3.99,0.21,0.98,0.56,0.7,6.15,19.16,9.79,0.56,18.81,7.69,2.17,6.36,1.19,10.77,6.57,4.13,6.29,1.68,1.26,3.5,13.5,1.75,11.61,1.89,1.61,1.61,1.75,0.21,5.24,0.07,6.36,5.24,0.77,2.38,1.68,0.35,0.14,0.07,0.07,0,9.37,5.17,0.84,0.07,0.14,1.12,0.63,3.64,0.07,0,0.07,0.56,2.38,2.24,0.14,0,2.87,0.07,0,1.82,0.28,0.7,0.7,0.14,0,0,0,0,0.07,0,0.07,0.7,0.14,0.21,0.07,0.28,0,0.7,0.49,0.28,3.85,6.78,0.35,0.7,5.17,0.56,0.14,0.07,2.59,2.24,2.24,2.1,0,0,0,0,0,7.62,1.61,4.9,0,0,0,1.12,0,0,4.619388418998048,1789,-3.900517205692069,29.166151099611906,2704,1.7490297542043984,108.16
1917-Wilson.txt.txt,1,0,1,1529,58.85,85.29,44.32,62.44,25.92,19.23,92.41,73.71,61.87,15.76,10.14,1.18,6.15,0.52,0.2,1.9,5.62,17.46,7.39,0.33,16.15,8.89,2.55,8.24,1.7,13.41,7.85,4.38,11.84,7.39,0.65,3.99,14.26,1.77,12.49,2.29,2.16,2.03,1.77,0.2,4.97,0.13,5.23,3.79,1.11,0.98,0.39,0.26,0.07,0.07,0.07,0,13.34,3.07,0.59,0.07,0.07,0.92,0.52,9.81,0,0,0,0.46,1.9,1.83,0.07,0,2.62,0.13,0.13,1.9,0.46,0.26,0.78,0.39,0,0.13,0,0,0,0,0,0.72,0.72,0.07,0,0.13,0,0.59,0.46,0.2,5.76,9.35,0.46,1.24,7.19,0.52,0,0.2,2.68,2.94,3.14,1.64,0,0,0,0,0,8.44,3.86,3.27,0,0,0.13,1.18,0,0.12077294685990338,4.58937198067633,1917,46.348051638150054,13.288764849820684,2649,1.5833831440526,41.390625
1973-Nixon.txt.txt,1,0,1,1802,72.4,86.12,63.2,91.99,26.5,18.42,92.01,70.64,58.71,14.1,8.49,0.89,5.94,0.22,0.5,0.72,5.6,16.87,6.88,0.72,17.98,7.6,3.61,7.16,1.11,13.49,6.38,3.72,13.37,7.77,2.89,3.05,12.71,1.11,11.49,1.89,2.83,1.33,1.05,0.55,4.27,0.11,8.21,6.71,1.5,1.33,0.83,0.5,0,0.22,0.11,0,13.32,4.22,0.94,0.33,0.33,0.55,0.67,8.99,0.22,0.11,0.06,0.72,1.66,1.5,0.11,0.06,2.94,0.17,0.55,1.66,0,0.55,0.89,0.28,0,0,0.06,0,0,0.06,0,0.67,0.17,0.22,0,0.17,0,0.17,0.28,0.22,6.33,9.66,0.17,1.05,8.66,0.17,0,0.06,5.05,2.33,3.16,2.44,0,0,0,0,0,12.6,3.83,5.33,0.17,0,0.78,2.5,0,0.6979062811565304,3.3898305084745766,1973,50.575111245758634,13.526639498649676,3081,1.493456131846825,44.01428571428571
1989-Bush.txt.txt,1,0,1,2317,51.01,88.44,48.48,95.02,16.43,15.67,92.62,71.73,57.75,14.11,9.41,1.68,5.09,0.91,0.56,0.6,4.7,16.14,8.55,0.52,12.73,10.01,3.75,7.9,1.73,17.22,6.56,2.98,11.39,7.12,1.64,2.89,11.57,1.04,10.53,1.94,1.42,2.16,1.55,0.43,3.88,0.26,7.34,6.47,0.69,1.73,1.29,0.22,0.04,0,0,0,15.58,4.75,1.51,0.56,0.17,0.6,1.47,10.92,0.43,0.43,0.39,1.38,2.63,2.42,0.13,0.09,3.32,0.09,0.43,1.64,0.39,0.91,1.38,0.17,0.04,0,0.04,0.04,0,0,0.04,0.86,0.52,0.43,0.47,0.13,0.04,0.17,0.26,0.22,8.42,9.28,0.39,1.42,6.52,0.73,0.3,0.3,5.18,3.02,6.52,2.16,0.09,0,0.09,0,0,16.57,6.13,7.16,0.22,0,0.82,2.24,0,0.33444816053511706,2.2668153102935706,1989,70.13465824357914,8.235569594034796,3770,1.3860294117647058,26.549295774647888
1945-Roosevelt.txt.txt,1,0,1,557,54.99,93.72,38.54,84.5,21.42,17.24,92.46,71.1,59.96,16.16,10.23,1.44,7.54,0.18,0.72,0.36,5.92,15.98,7.54,0.54,15.08,8.98,3.41,7.18,1.8,14.54,4.67,2.51,14.36,8.98,3.41,2.33,13.82,2.15,11.49,3.05,0.9,2.15,2.33,0.54,4.13,0.36,7.9,6.1,1.8,1.8,1.08,0.72,0.36,0,0,0,15.98,4.13,0.18,0.18,0.18,1.26,0.72,11.49,0,0.18,0.18,1.62,1.26,1.26,0,0,3.05,0,0,1.8,0.36,1.08,1.26,0.36,0,0.36,0,0,0,0,0,0.54,0.72,0.54,0,0,0,0.72,0.18,0,6.64,7.72,0,1.08,6.1,0.72,0,0,3.59,2.87,3.41,3.23,0.18,0,0.18,0,0,16.7,5.03,4.67,0,0,0.18,6.82,0,0.1579778830963665,3.949447077409163,1945,65.51991371186244,10.35997702909648,894,1.3690658499234305,34.38461538461539
1929-Hoover.txt.txt,1,0,1,3558,90.92,66.19,25.4,77.58,22.52,28.5,89.63,66.36,56.49,10.6,5.87,0.87,3.32,0.2,0,1.26,4.72,18.86,9.72,0.48,18.38,7.14,2.11,6.04,1.15,10.06,7.93,4.16,11.27,4.55,2.14,4.69,12.45,1.15,11.27,2.28,1.46,2.39,1.26,0.67,3.74,0,6.72,5.12,1.41,1.18,0.53,0.39,0.14,0.03,0.03,0,11.89,4.5,1.18,0.08,0.22,1.52,0.39,6.69,0.14,0.03,0.11,0.31,3.79,3.54,0.2,0.06,4.5,0.22,0.22,3.06,0.79,0.37,0.67,0.39,0.11,0.08,0,0.08,0,0.11,0.03,0.48,0.51,0.2,0.08,0.37,0.03,0.39,0.45,0.34,3.74,8.09,0.37,0.56,6.91,0.2,0.03,0.08,2.5,1.41,3.34,1.18,0,0,0,0,0,9.05,4.44,2.98,0,0,0,1.63,0,0,6.319606319606319,1929,33.00417958578609,14.375559179890292,7002,1.778511557023114,40.94736842105263
1905-Roosevelt.txt.txt,1,0,1,984,62.96,88.82,21.22,76.91,29.82,20.53,89.02,70.93,61.48,14.33,8.84,0.1,7.42,0,0,0.81,5.49,18.09,8.94,0.2,15.65,8.33,3.86,8.23,2.03,11.59,7.52,3.56,12.5,8.03,1.93,2.54,16.06,2.24,13.82,1.52,2.54,2.85,1.02,1.12,5.49,0.1,7.22,5.39,1.73,2.13,1.32,0.71,0.51,0.1,0,0,14.53,3.46,0.91,0.41,0.2,1.12,0.51,9.96,0.61,0.1,0,0.51,2.34,2.34,0,0,2.03,0,0,1.42,0.3,0.3,0.91,0.41,0,0.2,0,0,0,0,0.1,0.71,0.41,0.1,0,0.1,0,0.41,0.71,0,6.1,6.4,0.1,0.71,4.88,0.51,0,0.3,3.86,2.64,3.46,1.32,0,0,0,0,0,10.26,3.35,5.69,0,0,0.1,1.12,0,0.0925925925925926,4.166666666666666,1905,38.7851152290732,16.085343194282867,1738,1.5886654478976234,52.666666666666664
1933-Roosevelt.txt.txt,1,0,1,1880,83.78,63.05,23.55,56.78,22.12,23.14,89.57,68.51,56.06,12.29,7.02,1.65,3.35,0.11,0.37,1.44,5.27,17.5,9.26,0.48,16.76,7.45,3.03,5.48,1.33,11.97,8.14,3.14,10,4.68,2.39,3.14,11.44,1.54,9.89,1.44,1.17,2.13,1.22,1.06,3.3,0.05,6.33,4.31,1.97,1.54,0.9,0.59,0.32,0.05,0.21,0,12.13,5.05,1.17,0.05,0.32,1.17,0.53,6.7,0.11,0,0.05,0.48,1.76,1.65,0.05,0.05,5.27,0,0.37,3.46,1.65,0.48,0.9,0.27,0.27,0,0,0,0,0,0.11,1.38,0.16,0.27,0.11,0.27,0,0.27,0.59,0.11,5.27,7.87,0.27,1.49,5.96,0.37,0.11,0.05,2.82,1.7,3.99,1.97,0,0,0,0,0,9.84,4.52,3.78,0,0,0.11,1.44,0,0.0970402717127608,5.288694808345464,1933,44.4872659389716,13.088733509969163,3400,1.6275730014360938,39.53488372093023
1993-Clinton.txt.txt,1,0,1,1598,53.73,97.2,36.42,69.46,19.73,20.59,90.18,66.83,56.63,14.64,11.2,0.94,7.76,0.75,0.06,0.69,3.44,16.77,7.2,0.5,13.33,8.14,4.07,7.45,1.56,13.14,5.88,3.25,15.52,9.45,2.82,4.07,11.7,1.63,10.01,1.5,1.94,2.5,1,0.44,3.32,0.06,6.7,4.82,1.69,1.75,0.75,0.81,0.31,0.19,0.13,0,15.39,3.57,0.56,0.25,0.38,0.44,1,11.7,0.13,0.06,0.06,0.13,2.82,2.38,0.31,0.13,3.75,0.38,0.13,2.19,0.88,0.63,1.19,0.5,0.06,0,0.13,0,0.06,0,0,1.94,0.31,0.38,0,0.06,0.06,0.38,0.38,0.13,7.76,8.82,0.19,1.19,6.45,0.63,0.31,0.31,5.38,2.07,5.07,1.44,0.06,0,0.06,0,0,15.46,5.07,8.7,0,0,0.63,1.06,0,0.5417118093174431,2.491874322860238,1993,54.808739434595765,11.27088749395796,2845,1.5238350294590253,34.69512195121951
