Filename,Segment.x,Contractions,Segment.y,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,% words POS possessive,% words 'of',year,readability,grade_level,syllable_count,syllables_per_word,syllables_per_sentence
1969-Nixon.txt.txt,1,0,1,2125,78.05,90.07,61.42,71.89,20.63,17.32,91.95,71.48,57.41,14.73,9.32,1.36,6.4,0.09,0.38,0.56,5.41,17.84,8.05,1.08,17.74,7.44,2.68,5.93,1.36,15.34,6.96,4.14,12.89,8.24,2.21,3.01,11.2,1.22,9.74,1.79,1.27,2.21,0.89,0.85,3.2,0,7.53,5.36,2.07,2.21,0.99,1.04,0.28,0.24,0.28,0,13.84,3.95,0.52,0.24,0.24,0.42,1.18,9.65,0.24,0,0.09,1.13,1.22,1.04,0.14,0.05,2.35,0.19,0.33,0.99,0.28,0.56,1.22,0.33,0.14,0.05,0.05,0,0,0.09,0,0.75,0.61,0.42,0.14,0.28,0,0.42,0.42,0.33,7.91,11.95,0.42,2.12,8.8,1.18,0.52,0.14,5.04,2.68,4.52,2.12,0,0,0,0,0,15.06,4.94,6.31,0,0,0.33,3.48,0,0.2888980602558811,3.8794882377218323,1969,62.83200075471699,10.354673207547172,3548,1.4192,33.471698113207545
1793-Washington.txt.txt,1,0,1,135,88.47,12.63,81.03,42.15,33.75,27.41,83.7,68.89,60,13.33,8.15,6.67,0,0.74,0,0,5.19,17.78,10.37,0,19.26,8.89,4.44,3.7,0,12.59,5.19,0.74,9.63,1.48,2.22,5.93,7.41,0.74,6.67,1.48,0,0,3.7,0,2.96,0,2.96,2.22,0.74,1.48,1.48,0,0,0,0,0,5.93,2.22,0,0,0,0.74,0.74,2.96,0,0,0,0,2.22,2.22,0,0,3.7,0.74,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0,0,5.19,6.67,0,0.74,5.19,0,0,0.74,5.93,2.96,4.44,4.44,0,0,0,0,0,8.89,2.96,3.7,0,0,0,2.22,0,0,7.482993197278912,1793,24.24101510067115,19.13213087248322,255,1.7114093959731544,63.75
1957-Eisenhower.txt.txt,1,0,1,1659,76.45,91.22,21.02,91.77,18.03,18.63,91.2,68.17,57.14,12.12,7.9,0.3,5.49,0.18,0,1.69,4.22,18.81,8.56,0.36,16.09,6.81,4.64,6.81,1.33,12.24,6.33,4.22,13.68,7.23,1.93,4.52,13.74,2.77,10.97,1.63,1.51,3.19,2.59,0.9,2.95,0,9.34,7.23,2.05,2.17,1.33,0.72,0.3,0.06,0.06,0,14.77,5.24,1.15,0.42,0.18,1.45,0.78,9.58,0,0.3,0,0.66,2.11,1.99,0.12,0,2.59,0.06,0.06,1.39,0.84,0.36,0.9,0.12,0,0.06,0,0,0,0.06,0,0.66,1.45,0.3,0.18,0.54,0,0.18,0.54,0.06,5.61,10.37,0.9,1.02,7.66,0.66,0.06,0.36,3.32,1.51,3.86,2.83,0,0,0,0,0,16.7,5.79,7.29,0,0,0.24,3.38,0,0.20964360587002095,5.031446540880505,1957,66.56517320632085,9.13102244348234,2749,1.4090210148641722,29.24468085106383
1961-Kennedy.txt.txt,1,0,1,1366,76.17,76.38,44.45,66.38,25.77,19.18,90.7,66.69,54.98,12.59,7.61,0.73,4.61,0.73,0.22,0.73,4.98,17.94,8.57,0.66,14.64,5.56,3.73,6.3,2.2,11.2,6.81,3.73,14.71,7.39,1.9,5.71,13.03,1.24,11.71,1.32,1.1,1.9,2.56,0.51,5.42,0.22,8.13,5.49,2.56,1.61,0.88,0.66,0.37,0.15,0,0,15.81,6.44,1.24,0.44,0.95,0.66,1.24,9.44,0.15,0.07,0.07,0.81,1.98,1.98,0,0,2.71,0.29,0.22,0.88,0.66,0.73,1.32,0.44,0.15,0.07,0,0,0,0,0.29,0.22,0.44,0.07,0.22,0.07,0,0.29,0.51,0.44,5.71,8.49,0.51,1.1,6.44,0.51,0,0.15,4.47,1.61,2.86,1.83,0,0,0,0,0,14.93,4.03,6.22,0.15,0,0.15,4.39,0,0.12961762799740764,4.212572909915748,1961,55.39124843858434,12.633881101087209,2275,1.4472010178117047,41.36363636363637
1813-Madison.txt.txt,1,0,1,1210,90.08,42.97,31.44,18.28,36.67,25.62,87.19,67.85,58.1,11.16,5.45,0.83,2.23,0,0.08,2.23,5.7,19.5,10.99,0.25,18.26,6.94,2.48,6.45,1.82,10.25,7.11,3.31,10.91,3.22,2.15,5.87,11.07,1.32,9.67,2.15,1.16,0.74,1.07,0.17,5.12,0,8.1,3.88,4.05,1.9,0.83,0.74,0,0.41,0,0,11.49,5.12,0.74,0.25,1.32,1.65,0.5,6.03,0,0,0,0.17,2.98,2.48,0.5,0,1.98,0.17,0,1.4,0.17,0.25,0.83,0.08,0,0,0,0,0,0.08,0.33,0.83,0.08,0.33,0.17,0.25,0.08,0.41,0.58,0.08,4.55,6.45,0,0.74,4.71,0.58,0,0.41,2.73,3.88,2.56,0.91,0,0,0,0,0,7.69,2.56,4.38,0.08,0.08,0,0.58,0,0,4.99231950844854,1813,20.863920958635816,20.248703767715178,2262,1.7201520912547528,68.54545454545455
1825-Adams.txt.txt,1,0,1,2915,97.07,47.38,23.28,78.39,39.39,28.78,87.24,66.04,57.26,9.19,4.25,1.2,1.68,0.24,0.34,0.55,4.94,20.79,11.49,1.17,20.07,6.48,1.68,5.63,0.17,8.58,6.86,4.6,9.23,3.64,1.68,4.08,8.99,0.99,7.92,1.37,1.37,0.45,1.27,0.45,3.36,0,6.07,4.8,1.03,1.72,1.1,0.31,0.03,0.21,0.03,0,8.58,3.67,0.69,0.07,0.21,0.93,0.45,4.05,0,0.07,0.07,0.45,3.67,3.5,0.14,0.03,3.4,0.31,0.03,2.16,0.51,0.45,0.69,0.14,0.07,0,0,0,0.07,0.07,0.14,0.21,0.24,0.1,0.14,0.27,0,0.21,0.31,0.51,3.22,7.1,0.34,0.48,5.8,0.34,0.17,0.1,2.68,2.95,3.02,1.34,0,0,0,0,0,8.2,2.47,3.98,0.07,0,0.03,1.65,0,0.03176620076238882,7.750952986022871,1825,10.19441498460489,22.44595278823127,5726,1.8120253164556963,77.37837837837837
2001-Bush.txt.txt,1,0,1,1584,51.97,92.77,36.1,77.77,16.33,22.35,91.41,66.67,55.62,14.2,9.72,0.95,7.01,0.51,0.38,0.63,4.48,15.97,6.57,0.19,13.38,7.64,2.97,8.59,2.46,13.13,6.06,2.97,14.9,9.15,2.46,3.79,12.37,1.64,10.67,1.45,1.89,1.83,1.83,0.44,4.29,0,8.14,5.87,2.15,1.89,1.01,0.76,0.06,0.13,0.13,0,19.76,7.64,1.33,0.63,0.44,2.15,1.58,11.55,0.25,0.06,0.06,0.44,2.9,2.65,0.32,0,3.6,0,0.06,1.83,0.51,1.2,1.01,0.38,0.13,0,0.06,0,0,0,0,0.63,0.13,0.25,0.13,0.25,0.06,0.25,0.57,0.38,6.12,8.46,0.38,1.52,5.93,0.51,0.13,0.19,4.23,1.7,5.18,1.83,0.06,0,0.06,0,0,14.77,6.06,6.94,0.06,0,0.57,1.14,0,0.49586776859504134,3.195592286501378,2001,61.43851456689079,9.372377472473936,2785,1.492497320471597,28.13131313131313
1849-Taylor.txt.txt,1,0,1,1088,91.62,37.93,20.15,86.4,49.45,29.78,86.86,65.9,55.97,11.21,6.43,3.03,2.02,0.09,0.37,0.46,4.78,18.2,10.11,0,18.47,5.88,2.11,7.08,0.64,9.01,6.62,2.48,10.85,3.4,2.21,5.42,9.56,1.1,8.46,1.56,1.01,0.74,1.19,0.37,3.4,0,5.42,4.96,0.46,1.47,1.19,0.09,0.09,0,0,0,10.85,5.51,1.65,0.09,0.09,1.19,1.1,4.6,0.09,0,0,0.46,4.23,4.04,0.18,0,3.68,0,0,3.03,0.37,0.37,0.55,0.18,0,0,0,0,0.09,0,0,0.37,0.28,0.46,0.09,0.46,0,0,0.55,0.46,3.4,6.34,0.92,0.09,4.87,0.46,0.09,0.09,1.65,1.75,2.21,2.48,0,0,0,0,0,8.64,2.02,5.24,0,0,0,1.38,0,0,5.263157894736842,1849,1.039572864321599,27.23922708782006,2090,1.7504187604690118,99.52380952380952
1885-Cleveland.txt.txt,1,0,1,1683,93.74,72.22,4.35,74.06,38.25,27.27,89.72,65.48,56.09,9.92,5.88,0.65,2.02,0.42,0.53,1.66,4.04,20.74,12.36,0.12,17.11,5.53,1.78,7.9,0.65,7.96,6.48,3.03,9.39,3.57,2.14,4.04,9.39,1.84,7.55,1.49,0.89,1.31,1.37,0.42,2.55,0,6.06,4.75,1.31,1.49,0.83,0.53,0.18,0.12,0,0,12,4.63,0.77,0.24,0.24,1.37,0.36,7.01,0.06,0.06,0,0.77,4.81,4.52,0.3,0,4.46,0.12,0.06,2.91,1.13,0.59,0.36,0.3,0,0.06,0,0,0.12,0,0,0.48,0.24,0.3,0,0.18,0,0.71,1.07,0.48,4.22,6.24,0.89,0.3,4.46,0.24,0.12,0.24,1.07,1.13,2.55,1.84,0,0,0,0,0,8.56,2.61,4.34,0,0,0.18,1.43,0,0.16492578339747113,6.432105552501374,1885,17.542497228381393,21.229533752155707,3200,1.7344173441734418,72.72727272727273
2009-Obama.txt.txt,1,0,1,2391,51.64,95.35,35.98,53.98,21.16,19.24,90.38,68.59,57.13,15.35,9.54,0.25,6.52,0.71,0.08,1.34,5.81,17.77,7.74,0.25,13.09,7.74,3.64,8.53,1.59,12.84,6.27,3.64,12.05,7.65,1.92,2.63,11.33,1.3,10,1.97,1.55,1.63,1.67,0.54,3.55,0.29,7.19,4.6,2.43,1.42,0.67,0.54,0.17,0.21,0,0,15.93,4.81,0.96,0.33,0.71,1.34,0.96,11,0.38,0.04,0.21,0.54,2.05,1.51,0.29,0.25,3.68,0.29,0.04,1.92,0.84,0.75,1.05,0.17,0,0,0,0,0,0.25,0.17,0.67,0.13,0.38,0.13,0.21,0,0.17,0.75,0.25,5.4,8.45,0.54,1.46,5.81,0.63,0.08,0.25,4.81,3.09,4.52,1.8,0.04,0,0.04,0,0,14.35,4.94,5.44,0,0.04,0.54,3.39,0,0.4444444444444444,3.0370370370370376,2009,57.32341355637972,11.21533022962203,4077,1.479854809437387,35.45217391304348
1841-Harrison.txt.txt,1,0,1,8448,91.91,31.07,22.62,39.55,40.23,25.75,88.1,69.85,60.45,10.78,4.84,1.1,1.03,0.09,0.69,1.65,5.94,20.89,11.7,0.58,19.05,7.22,3.23,6.23,1.38,10.59,6.37,3.76,8,2.31,0.85,4.98,14.61,1.49,13.09,1.99,1.82,1.41,2.47,0.65,5.6,0.02,4.51,2.86,1.54,1.09,0.53,0.45,0.08,0.15,0.02,0,9.39,3.66,0.44,0.14,0.32,0.71,0.69,5.35,0.11,0.01,0.07,0.84,3.36,3.23,0.12,0.01,2.71,0.19,0.08,1.75,0.51,0.22,0.65,0.22,0,0.01,0.01,0,0.04,0.01,0.05,0.25,0.25,0.18,0.08,0.22,0,0.15,0.62,0.3,3.43,6.4,0.46,0.47,4.96,0.41,0.09,0.14,1.95,2.82,2.88,1.4,0.01,0,0.01,0,0,8.53,2.51,4.82,0.04,0,0.08,1.09,0,0.07672073651907058,6.587023235423061,1841,20.70067333574468,20.835598928098253,15562,1.694837725985624,71.38532110091744
1877-Hayes.txt.txt,1,0,1,2484,94.78,32.15,35.43,83.21,42.1,27.62,89.33,67.35,56.72,9.14,4.15,1.53,1.13,0.04,0.28,0.93,4.99,19.24,11.63,0.48,18.8,5.8,2.82,6.84,0.97,9.14,7.45,2.94,8.66,2.98,1.53,4.23,12.12,1.49,10.63,1.93,1.33,1.41,1.73,1.09,4.07,0.08,6.84,5.35,1.17,1.49,0.76,0.32,0.04,0.08,0.04,0,10.47,5.35,0.81,0.44,0.4,0.64,1.17,3.99,0,0,0,0.36,4.27,4.15,0.12,0,3.62,0.6,0.04,2.21,0.48,0.28,0.32,0.12,0,0,0.04,0,0,0,0.16,0.56,0.24,0.24,0,0.36,0,0.12,0.44,0.56,4.11,8.29,0.72,0.68,6.68,0.48,0.08,0.12,2.86,2.29,2.62,1.17,0,0,0,0,0,9.7,2.38,5.92,0,0,0,1.41,0,0,6.132249722940527,1877,16.854331877729265,22.28648326055313,4661,1.6961426491994178,77.68333333333334
2017-Trump.txt.txt,1,0.21,1,1458,46.76,98.18,42.5,82.43,16.2,21.88,91.08,66.8,55.97,13.72,10.08,0.27,6.86,1.71,0,1.17,3.64,16.94,6.1,1.37,12.21,8.44,4.12,8.09,1.58,13.51,6.24,4.73,14.06,8.78,1.58,4.39,10.29,2.88,7.41,0.96,1.23,0.55,0.75,0.41,3.57,0.34,6.31,5.21,1.1,1.44,1.03,0.34,0.07,0,0.07,0,16.94,3.77,0.89,0.55,0.41,0.48,0.89,12.48,0.27,0.07,0.34,0.14,4.05,3.16,0.82,0.07,4.46,0.34,0.27,1.99,1.03,0.89,1.44,0.41,0.27,0.07,0,0,0,0,0.07,0.27,0.21,0.69,0.27,0.07,0,0.41,0.75,0.21,7.54,9.19,0.48,1.23,6.72,0.82,0.21,0.14,4.87,2.26,3.91,3.57,0.07,0,0.07,0,0,15.29,6.17,7.27,0,0,0.75,1.1,0,0.357355568790947,2.8588445503275763,2017,58.992244505960144,9.606975123815982,2615,1.5265615878575598,28.118279569892472
1833-Jackson.txt.txt,1,0,1,1176,89.64,53.26,24.32,58.86,40.55,27.64,86.39,66.41,58.59,12.07,6.89,2.38,2.38,0.43,0.17,1.36,5.19,19.9,9.95,0.34,19.13,6.29,3.4,6.72,0.51,8.93,4.76,3.83,9.61,4.25,1.87,3.74,10.37,1.7,8.67,1.45,1.02,1.11,1.53,0.34,3.32,0,5.36,3.83,1.36,1.79,1.11,0.51,0.09,0.17,0,0,9.18,3.06,0.85,0,0.17,0.77,0.34,5.61,0.09,0,0,0.26,4.08,3.91,0.17,0,2.04,0,0,1.28,0.43,0.43,0.6,0.09,0.09,0,0,0,0,0,0,0.6,0.17,0.17,0,0.43,0,0.09,0.6,0.26,3.83,6.38,0.34,0.43,5.1,0.51,0,0.09,2.89,1.28,2.55,2.04,0,0,0,0,0,7.99,2.47,4.17,0,0,0,1.36,0,0,5.998421468034729,1833,18.231651522035463,20.958017567772227,2217,1.7347417840375587,71.51612903225806
2021-Biden.txt.txt,1,0.51,1,2548,43.84,90.86,50.09,44.98,15.35,17.46,92.9,70.92,59.22,17.07,12.17,3.18,6.51,0.98,0.12,0.9,4.91,17.5,6.44,1.3,13.81,9.03,3.89,7.34,1.53,16.05,5.46,5.26,13.54,8.59,1.69,3.53,10.6,1.73,8.79,1.53,0.9,1.84,1.41,0.71,3.34,0.04,6.95,4.28,2.63,1.65,0.67,0.9,0.24,0.27,0.24,0,16.37,5.18,0.71,0.16,0.63,0.78,1.88,11.07,0.82,0.12,0.24,0.31,2.86,2.39,0.47,0,3.06,0.2,0.24,1.45,0.27,1.06,1.37,0.63,0.31,0.16,0.04,0,0,0,0.16,0.75,0.2,0.35,0.2,0.2,0.04,0.16,0.59,0.24,7.42,8.36,0.55,1.14,5.81,0.98,0.55,0.12,5.1,3.3,4.67,2.67,0.04,0,0.04,0,0,19.66,6.28,9.11,0.39,0,1.69,2.2,0,0.561612157251404,2.708952758506773,2021,72.99869022409874,7.448387212916998,4221,1.3708996427411495,24.12
1805-Jefferson.txt.txt,1,0,1,2166,72.37,64.86,27.47,61.63,48.13,25.25,87.53,66.81,58.36,15.24,9,1.75,2.12,0.37,0.37,3.55,6.23,16.67,7.76,0.18,16.9,7.53,2.63,6.93,1.06,10.99,4.71,3.09,8.08,3.46,1.2,3.55,13.07,1.2,11.82,2.4,1.62,1.62,1.89,0.65,4.39,0,6.09,4.25,1.62,1.94,1.02,0.65,0.23,0.23,0.05,0,13.3,4.02,0.74,0.09,0.09,1.2,0.65,8.91,0.23,0.14,0,0.65,1.94,1.75,0.09,0.09,2.86,0.23,0.09,1.52,0.78,0.32,0.51,0.09,0,0,0,0,0.14,0,0,0.51,0.23,0.37,0.05,0.46,0.09,0.09,0.42,0.42,3.74,6.79,0.32,0.42,5.26,0.46,0.28,0.18,2.59,2.91,2.45,1.8,0,0,0,0,0,10.02,1.89,6.56,0.18,0,0.09,1.29,0,0.08396305625524769,4.240134340890007,1805,12.481764705882398,24.188193575302467,4040,1.6854401335002085,85.95744680851064
1869-Grant.txt.txt,1,0,1,1127,78.37,29.26,47.93,66.38,28.17,23.78,91.13,70.36,59.27,11.89,6.39,2.75,1.51,0.09,0.18,1.51,5.5,18.01,9.05,0.89,17.48,8.87,4.35,6.92,0.71,12.51,6.48,5.32,8.52,2.22,2.04,4.35,13.75,2.13,11.54,2.04,1.15,2.31,2.75,0.53,4.61,0.09,4.61,3.55,0.62,1.6,0.89,0.27,0.09,0.09,0,0,8.87,3.55,0.53,0.18,0.18,0.71,0.53,4.53,0,0,0,0.35,2.93,2.84,0.09,0,6.21,0.09,0,2.48,3.28,0.71,0.18,0.09,0,0,0,0,0,0,0,0.8,0.44,0.62,0.09,0.27,0,0,0.98,0.18,4.53,7.36,0,1.06,6.39,0.27,0,0.09,3.46,1.86,3.37,2.66,0,0,0,0,0,10.03,3.46,4.53,0.09,0,0.09,1.86,0,0.08130081300813008,3.821138211382114,1869,38.95257049747275,15.2376576217079,2038,1.6264964086193137,48.523809523809526
1893-Cleveland.txt.txt,1,0,1,2014,83.76,68.48,13.4,61.63,34.72,29.59,86.89,64.2,55.16,12.51,7.89,1.74,3.72,0,0.2,1.74,4.62,17.23,9.04,0.1,16.88,5.96,2.33,7.8,0.89,8.79,5.76,2.48,10.97,4.82,2.04,4.52,11.52,1.19,10.33,1.74,1.44,1.84,1.49,0.74,3.87,0.15,7.45,4.97,2.33,1.89,1.09,0.55,0.15,0.1,0.05,0.05,13.21,5.16,1.29,0.1,0.7,1.49,0.35,7.7,0.15,0,0.05,0.6,3.53,3.08,0.45,0,3.97,0.1,0.05,2.33,1.54,0.3,0.6,0.45,0.1,0.05,0.05,0,0.05,0,0,0.4,0.3,0.35,0,0.25,0.15,0.65,1.09,0.25,4.12,5.81,0.65,0.7,4.22,0.25,0.1,0.1,1.79,1.39,2.33,1.14,0,0,0,0,0,6.21,2.88,2.53,0,0,0.45,0.35,0,0.4217432052483599,5.576382380506092,1893,16.98813748079877,19.874631336405532,3928,1.8101382488479263,65.46666666666667
1861-Lincoln.txt.txt,1,0,1,3634,68.71,16.95,47.11,23,26.92,23.31,88.53,70.72,61.34,10.62,4.95,1.62,0.63,0.74,0.33,1.27,5.67,18.19,8.67,0.74,16.37,9.38,4.49,8.2,2.48,13.21,6.19,3.77,7.87,1.98,0.52,5.42,17.09,2.5,14.56,1.98,1.57,1.93,3.71,0.88,6.08,0.08,4.73,2.42,2.2,1.18,0.52,0.47,0.14,0.19,0,0,7.15,2.97,0.28,0.06,0.52,0.61,0.8,4.13,0.11,0.08,0.03,0.39,2.28,2.2,0.08,0,1.82,0.19,0.03,1.35,0.08,0.22,0.74,0.3,0,0.06,0,0,0.08,0,0.08,0.61,0.14,0.47,0.06,0.11,0.03,0.14,0.61,0.06,4.82,7.29,0.19,0.8,6.05,0.25,0.03,0.17,3.44,1.71,4.05,1.84,0,0,0,0,0,10.37,3.11,5.37,0.61,0,0,1.29,0,0,3.650912728182046,1861,41.185169755374375,14.448530899857705,6569,1.623177662466024,45.30344827586207
1857-Buchanan.txt.txt,1,0,1,2824,87.45,38.21,43.17,60.28,31.73,25.39,88.42,69.23,58.22,9.53,4.18,0.92,1.81,0.07,0.14,1.13,5.35,19.41,10.69,0.18,17.78,7.83,3.86,7.51,1.17,10.38,8.29,3.72,8.29,3.05,1.2,4.14,13.17,2.02,11.05,2.2,0.96,1.31,2.48,0.42,4.53,0.11,6.02,4.25,1.7,1.24,0.71,0.46,0.04,0.14,0,0,8.29,3.51,0.32,0.11,0.35,0.92,0.71,4.43,0.32,0.07,0.07,0.42,3.93,3.82,0.11,0,3.26,0.07,0.11,1.7,0.99,0.57,0.57,0.32,0,0,0,0,0.04,0,0.11,0.57,0.18,0.5,0.07,0.18,0,0.35,0.57,0.11,4.71,7.65,0.21,0.57,6.66,0.28,0.11,0.07,3.75,2.23,3.29,1.98,0.07,0,0.07,0,0,9.7,3.08,5.1,0.07,0,0.07,1.38,0,0.06482982171799027,4.505672609400326,1857,29.057864444444476,17.83230666666667,5265,1.6848,58.5
